Post_ID,Platform,Content_Type,Content_Category,Post_Type,Region,Longitude,Latitude,Engagement,Views,Likes,Shares,Comments,Engagement_Rate,Impressions,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Main_Hashtag,Post_Published_At,Post_Date,Post_Hour,Engagement_Level
Post_14,YouTube,Organic,Educational,Video,Japan,138.2529,36.2048,"  71,888 ","  311,167 ","  67,115 ","  10,487 ","  10,685 ",0.23,"  349,494 ","  281,653 ",  -   ,,,#CustomerStory,2025-04-22 19:01:00,4/22/2025,19,High
Post_15,X.com,Organic,Entertainment,Text,Germany,10.4515,51.1657,"  53,010 ","  566,252 ","  84,730 ","  18,787 ","  18,368 ",0.09,"  659,704 ",  -   ,  -   ,,,#FunContent,2024-05-16 15:46:00,5/16/2024,15,Low
Post_16,YouTube,Organic,Product Promotion,Live Stream,Canada,-106.3468,56.1304,"  30,263 ","  347,554 ","  72,792 ","  21,505 ","  19,285 ",0.09,"  415,133 ",  -   ,"  679,391 ",,,#ProductDemo,2025-01-07 15:38:00,1/7/2025,15,Low
Post_17,X.com,Organic,Educational,Image,UK,-3.436,55.3781,"  58,337 ","  347,296 ","  63,968 ","  23,806 ","  13,805 ",0.17,"  418,334 ",  -   ,  -   ,,,#SuccessStory,2024-12-01 11:31:00,12/1/2024,11,Medium
Post_18,TikTok,Sponsored,Educational,Video,UK,-3.436,55.3781,"  510,212 ","  2,596,696 ","  426,198 ","  81,201 ","  63,140 ",0.20,"  2,872,688 ","  2,596,696 ",  -   ,"  31,312 ",1.09%,#CustomerStory,2024-06-11 10:59:00,6/11/2024,10,Medium
Post_19,TikTok,Organic,Product Promotion,Video,USA,-95.7129,37.0902,"  29,522 ","  216,249 ","  38,121 ","  16,300 ","  6,481 ",0.14,"  255,622 ","  3,466 ",  -   ,"  3,246 ",1.27%,#FeatureHighlight,2024-01-16 11:03:00,1/16/2024,11,Medium
Post_20,YouTube,Organic,Educational,Video,UK,-3.436,55.3781,"  58,869 ","  354,249 ","  75,572 ","  14,680 ","  8,175 ",0.17,"  410,202 ","  308,035 ",  -   ,,,#CustomerStory,2024-10-14 12:04:00,10/14/2024,12,Medium
Post_21,X.com,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,"  340,149 ","  2,376,086 ","  548,208 ","  166,762 ","  65,253 ",0.14,"  3,037,853 ","  2,376,086 ",  -   ,,,#ProductDemo,2024-06-17 17:58:00,6/17/2024,17,Medium
Post_22,TikTok,Organic,Product Promotion,Live Stream,USA,-95.7129,37.0902,"  49,757 ","  365,818 ","  66,176 ","  25,743 ","  20,428 ",0.14,"  425,666 ",  -   ,"  77,512 ","  4,937 ",1.16%,#FeatureHighlight,2025-01-26 15:13:00,1/26/2025,15,Medium
Post_23,YouTube,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,"  197,894 ","  1,705,918 ","  379,911 ","  124,594 ","  34,592 ",0.12,"  2,050,768 ","  1,705,918 ",  -   ,,,#ProductDemo,2024-11-14 19:45:00,11/14/2024,19,Medium
Post_24,X.com,Organic,Product Promotion,Video,Japan,138.2529,36.2048,"  113,610 ","  902,363 ","  146,734 ","  37,091 ","  22,373 ",0.13,"  1,053,529 ","  902,363 ",  -   ,,,#ProductDemo,2024-08-11 11:42:00,8/11/2024,11,Medium
Post_25,YouTube,Organic,Educational,Video,Germany,10.4515,51.1657,"  58,395 ","  233,871 ","  41,586 ","  15,236 ","  8,079 ",0.25,"  302,712 ","  204,799 ",  -   ,,,#CustomerStory,2024-08-30 12:00:00,8/30/2024,12,High
Post_26,YouTube,Organic,Event / Webinar,Live Stream,Brazil,-51.9253,-14.235,"  42,412 ","  290,405 ","  70,965 ","  12,368 ","  11,584 ",0.15,"  336,920 ",  -   ,"  927,260 ",,,#WebinarReplay,2024-05-22 10:02:00,5/22/2024,10,Medium
Post_27,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,"  250,854 ","  2,076,760 ","  364,267 ","  67,648 ","  64,682 ",0.12,"  2,661,686 ","  2,076,760 ",  -   ,,,#ProductDemo,2024-06-27 17:00:00,6/27/2024,17,Medium
Post_28,YouTube,Organic,Entertainment,Video,Canada,-106.3468,56.1304,"  35,665 ","  413,478 ","  56,205 ","  15,399 ","  16,364 ",0.09,"  536,334 ","  397,501 ",  -   ,,,#TrendingNow,2024-09-19 15:50:00,9/19/2024,15,Low
Post_29,Instagram,Organic,Event / Webinar,Live Stream,Canada,-106.3468,56.1304,"  35,525 ","  326,729 ","  69,999 ","  13,684 ","  16,051 ",0.11,"  383,434 ",  -   ,"  352,922 ",,,#EventRecap,2025-01-17 12:34:00,1/17/2025,12,Medium
Post_30,YouTube,Organic,Event / Webinar,Live Stream,Japan,138.2529,36.2048,"  182,898 ","  1,137,655 ","  221,876 ","  64,605 ","  26,861 ",0.16,"  1,441,477 ",  -   ,"  981,170 ",,,#WebinarReplay,2024-07-06 11:19:00,7/6/2024,11,Medium
Post_31,LinkedIn,Organic,Educational,Image,Australia,133.7751,-25.2744,"  84,944 ","  420,660 ","  43,112 ","  23,390 ","  12,224 ",0.20,"  517,005 ",  -   ,  -   ,,,#SuccessStory,3:57:00 PM,5/7/2024,15,High
Post_32,X.com,Organic,Product Promotion,Video,USA,-95.7129,37.0902,"  230,631 ","  2,655,192 ","  334,965 ","  171,384 ","  94,178 ",0.09,"  3,418,150 ","  2,655,192 ",  -   ,,,#ProductDemo,2024-12-23 17:08:00,12/23/2024,17,Low
Post_33,YouTube,Organic,Event / Webinar,Live Stream,USA,-95.7129,37.0902,"  33,791 ","  211,173 ","  24,711 ","  16,098 ","  11,634 ",0.16,"  243,184 ",  -   ,"  1,489,976 ",,,#WebinarReplay,2024-04-25 10:06:00,4/25/2024,10,Medium
Post_34,YouTube,Organic,Educational,Video,Australia,133.7751,-25.2744,"  25,047 ","  161,448 ","  35,935 ","  9,325 ","  6,649 ",0.16,"  185,402 ","  143,334 ",  -   ,,,#CustomerStory,2024-01-15 17:21:00,1/15/2024,17,Medium
Post_35,YouTube,Sponsored,Educational,Video,UK,-3.436,55.3781,"  49,341 ","  275,988 ","  41,634 ","  13,098 ","  13,533 ",0.18,"  353,105 ","  235,164 ",  -   ,,,#CustomerStory,2025-04-10 12:06:00,4/10/2025,12,Medium
Post_36,TikTok,Organic,Educational,Live Stream,Japan,138.2529,36.2048,"  50,766 ","  328,182 ","  76,487 ","  22,642 ","  14,991 ",0.15,"  366,522 ",  -   ,"  90,407 ","  8,136 ",2.22%,#SuccessStory,2024-08-03 10:52:00,8/3/2024,10,Medium
Post_37,LinkedIn,Organic,Educational,Carousel,Germany,10.4515,51.1657,"  49,910 ","  272,628 ","  27,638 ","  9,562 ","  12,688 ",0.18,"  300,166 ",  -   ,  -   ,,,#SuccessStory,8:02:00 AM,6/14/2024,8,Medium
Post_38,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,"  316,200 ","  2,635,551 ","  327,127 ","  151,377 ","  125,652 ",0.12,"  3,242,761 ","  2,635,551 ",  -   ,,,#ProductDemo,2025-01-09 10:02:00,1/9/2025,10,Medium
Post_39,TikTok,Organic,Product Promotion,Video,USA,-95.7129,37.0902,"  310,863 ","  2,550,875 ","  345,866 ","  118,028 ","  127,185 ",0.12,"  3,137,388 ","  2,550,875 ",  -   ,"  33,256 ",1.06%,#ProductDemo,2024-01-20 11:03:00,1/20/2024,11,Medium
Post_40,X.com,Organic,Educational,Text,USA,-95.7129,37.0902,"  47,357 ","  309,100 ","  70,284 ","  19,436 ","  13,208 ",0.15,"  345,800 ",  -   ,  -   ,,,#SuccessStory,2025-01-24 18:18:00,1/24/2025,18,Medium
Post_41,X.com,Organic,Educational,Text,India,78.9629,20.5937,"  23,893 ","  113,012 ","  15,437 ","  8,888 ","  4,037 ",0.21,"  144,475 ",  -   ,  -   ,,,#SuccessStory,2024-03-29 10:16:00,3/29/2024,10,High
Post_42,YouTube,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,"  29,587 ","  172,821 ","  33,643 ","  12,052 ","  6,931 ",0.17,"  210,043 ",  -   ,"  1,238,776 ",,,#WebinarReplay,2024-06-26 17:18:00,6/26/2024,17,Medium
Post_43,X.com,Organic,Event / Webinar,Image,Brazil,-51.9253,-14.235,"  94,256 ","  625,133 ","  88,841 ","  19,514 ","  28,642 ",0.15,"  709,789 ",  -   ,  -   ,,,#EventRecap,2025-04-13 14:10:00,4/13/2025,14,Medium
Post_44,YouTube,Organic,Entertainment,Video,Brazil,-51.9253,-14.235,"  90,944 ","  1,357,131 ","  329,904 ","  102,793 ","  47,236 ",0.07,"  1,497,039 ","  1,357,131 ",  -   ,,,#TrendingNow,2024-08-30 12:02:00,8/30/2024,12,Low
Post_45,X.com,Organic,Educational,Video,Germany,10.4515,51.1657,"  461,737 ","  1,906,900 ","  467,187 ","  149,083 ","  103,202 ",0.24,"  2,209,886 ","  1,906,900 ",  -   ,,,#CustomerStory,2024-01-26 12:18:00,1/26/2024,12,High
Post_46,LinkedIn,Sponsored,Educational,Image,Brazil,-51.9253,-14.235,"  56,165 ","  324,034 ","  51,121 ","  23,510 ","  10,588 ",0.17,"  367,421 ",  -   ,  -   ,,,#SuccessStory,12:58:00 PM,3/20/2024,12,Medium
Post_47,LinkedIn,Organic,Educational,Image,Japan,138.2529,36.2048,"  76,384 ","  321,010 ","  65,615 ","  18,780 ","  7,667 ",0.24,"  392,595 ",  -   ,  -   ,,,#DidYouKnow,5:57:00 PM,1/24/2025,17,High
Post_48,Instagram,Organic,Product Promotion,Live Stream,India,78.9629,20.5937,"  24,245 ","  259,247 ","  64,424 ","  9,593 ","  10,559 ",0.09,"  330,662 ",  -   ,"  396,307 ",,,#FeatureHighlight,2025-04-04 12:20:00,4/4/2025,12,Low
Post_49,X.com,Organic,Event / Webinar,Text,USA,-95.7129,37.0902,"  37,651 ","  358,305 ","  55,151 ","  16,008 ","  18,766 ",0.11,"  452,189 ",  -   ,  -   ,,,#EventRecap,2024-10-09 17:50:00,10/9/2024,17,Medium
Post_50,LinkedIn,Organic,Educational,Image,Japan,138.2529,36.2048,"  56,148 ","  355,380 ","  84,220 ","  19,747 ","  14,236 ",0.16,"  447,657 ",  -   ,  -   ,,,#TrendingNow,11:15:00 AM,4/18/2024,11,Medium
Post_51,YouTube,Organic,Entertainment,Video,Australia,133.7751,-25.2744,"  66,461 ","  766,176 ","  168,075 ","  57,080 ","  25,682 ",0.09,"  900,346 ","  721,558 ",  -   ,,,#TrendingNow,2024-09-13 14:16:00,9/13/2024,14,Low
Post_52,YouTube,Organic,Event / Webinar,Live Stream,Canada,-106.3468,56.1304,"  59,324 ","  348,820 ","  39,799 ","  20,550 ","  7,477 ",0.17,"  416,183 ",  -   ,"  1,313,966 ",,,#WebinarReplay,2024-06-02 16:16:00,6/2/2024,16,Medium
Post_53,YouTube,Organic,Educational,Video,Japan,138.2529,36.2048,"  62,842 ","  318,626 ","  33,320 ","  10,153 ","  16,856 ",0.20,"  373,441 ","  302,283 ",  -   ,,,#CustomerStory,2025-04-29 12:49:00,4/29/2025,12,Medium
Post_54,X.com,Organic,Customer Story,Text,Canada,-106.3468,56.1304,"  22,102 ","  88,728 ","  10,563 ","  4,978 ","  4,507 ",0.25,"  101,430 ",  -   ,  -   ,,,#SuccessStory,2024-05-06 14:37:00,5/6/2024,14,High
Post_55,X.com,Organic,Customer Story,Text,USA,-95.7129,37.0902,"  38,446 ","  176,963 ","  19,068 ","  10,010 ","  7,366 ",0.22,"  217,219 ",  -   ,  -   ,,,#SuccessStory,2025-04-16 18:13:00,4/16/2025,18,High
Post_56,YouTube,Organic,Customer Story,Video,Australia,133.7751,-25.2744,"  45,706 ","  271,645 ","  56,750 ","  21,403 ","  11,042 ",0.17,"  316,355 ","  243,887 ",  -   ,,,#CustomerStory,2024-09-30 15:14:00,9/30/2024,15,Medium
Post_57,Instagram,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,"  24,855 ","  183,821 ","  30,485 ","  6,235 ","  3,862 ",0.14,"  237,594 ",  -   ,"  434,392 ",,,#EventRecap,2025-03-30 16:50:00,3/30/2025,16,Medium
Post_58,X.com,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,"  323,794 ","  2,639,325 ","  539,467 ","  133,147 ","  71,081 ",0.12,"  2,985,835 ","  2,639,325 ",  -   ,,,#ProductDemo,2024-03-14 12:28:00,3/14/2024,12,Medium
Post_59,YouTube,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,"  90,452 ","  563,553 ","  116,762 ","  35,509 ","  17,581 ",0.16,"  727,531 ",  -   ,"  1,606,845 ",,,#WebinarReplay,2024-06-07 17:53:00,6/7/2024,17,Medium
Post_60,X.com,Organic,Customer Story,Text,UK,-3.436,55.3781,"  15,641 ","  88,777 ","  16,259 ","  5,378 ","  3,265 ",0.18,"  102,053 ",  -   ,  -   ,,,#SuccessStory,2025-04-07 17:26:00,4/7/2025,17,Medium
Post_61,TikTok,Organic,Customer Story,Video,USA,-95.7129,37.0902,"  44,094 ","  226,260 ","  25,946 ","  12,349 ","  8,810 ",0.19,"  256,723 ",  468 ,  -   ,"  3,157 ",1.23%,#SuccessStory,2024-05-14 16:21:00,5/14/2024,16,Medium
Post_62,YouTube,Organic,Entertainment,Video,Australia,133.7751,-25.2744,"  192,243 ","  3,404,004 ","  561,925 ","  169,945 ","  151,934 ",0.06,"  4,176,776 ","  3,404,004 ",  -   ,,,#TrendingNow,2024-10-13 15:11:00,10/13/2024,15,Low
Post_63,TikTok,Sponsored,Customer Story,Video,India,78.9629,20.5937,"  47,176 ","  237,158 ","  45,979 ","  13,080 ","  12,868 ",0.20,"  292,116 ","  8,468 ",  -   ,"  3,622 ",1.24%,#SuccessStory,2025-04-27 09:51:00,4/27/2025,9,Medium
Post_64,Instagram,Organic,Entertainment,Video,Canada,-106.3468,56.1304,"  92,499 ","  1,650,751 ","  205,419 ","  55,347 ","  75,433 ",0.06,"  1,824,578 ","  1,650,751 ",  -   ,,,#TrendingNow,2024-04-13 09:37:00,4/13/2024,9,Medium
Post_65,YouTube,Organic,Product Promotion,Video,Canada,-106.3468,56.1304,"  327,348 ","  2,485,372 ","  463,077 ","  122,798 ","  113,659 ",0.13,"  2,961,694 ","  2,485,372 ",  -   ,,,#ProductDemo,2024-04-13 18:44:00,4/13/2024,18,Medium
Post_66,TikTok,Sponsored,Customer Story,Video,Japan,138.2529,36.2048,"  104,880 ","  525,218 ","  95,506 ","  40,480 ","  18,615 ",0.20,"  678,706 ","  56,456 ",  -   ,"  11,402 ",1.68%,#SuccessStory,2025-01-20 13:24:00,1/20/2025,13,Medium
Post_67,YouTube,Sponsored,Product Promotion,Video,Brazil,-51.9253,-14.235,"  157,052 ","  1,635,175 ","  241,754 ","  118,131 ","  34,225 ",0.10,"  2,065,052 ","  1,635,175 ",  -   ,,,#ProductDemo,2024-02-17 10:42:00,2/17/2024,10,Low
Post_68,X.com,Organic,Customer Story,Image,Japan,138.2529,36.2048,"  47,775 ","  270,759 ","  38,523 ","  9,722 ","  12,961 ",0.18,"  331,893 ",  -   ,  -   ,,,#SuccessStory,2024-07-30 17:37:00,7/30/2024,17,Medium
Post_69,X.com,Organic,Customer Story,Text,USA,-95.7129,37.0902,"  48,375 ","  286,201 ","  63,113 ","  12,621 ","  7,755 ",0.17,"  357,786 ",  -   ,  -   ,,,#SuccessStory,2024-04-28 15:10:00,4/28/2024,15,Medium
Post_70,YouTube,Organic,Customer Story,Video,Australia,133.7751,-25.2744,"  52,152 ","  308,131 ","  68,104 ","  24,504 ","  11,248 ",0.17,"  361,870 ","  277,529 ",  -   ,,,#CustomerStory,2025-01-01 11:25:00,1/1/2025,11,Medium
Post_71,X.com,Organic,Customer Story,Text,Japan,138.2529,36.2048,"  35,713 ","  183,079 ","  43,868 ","  13,350 ","  6,803 ",0.20,"  228,880 ",  -   ,  -   ,,,#SuccessStory,2024-09-21 17:50:00,9/21/2024,17,Medium
Post_72,LinkedIn,Sponsored,Customer Story,Image,Australia,133.7751,-25.2744,"  83,199 ","  366,193 ","  78,065 ","  12,873 ","  20,544 ",0.23,"  439,816 ",  -   ,  -   ,,,#SuccessStory,5:14:00 PM,4/1/2025,17,High
Post_73,TikTok,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,"  57,003 ","  395,362 ","  92,644 ","  19,554 ","  8,078 ",0.14,"  506,488 ",  -   ,"  72,821 ","  10,028 ",1.98%,#EventRecap,2024-07-06 15:20:00,7/6/2024,15,Medium
Post_74,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,"  84,990 ","  689,828 ","  102,023 ","  53,463 ","  40,026 ",0.12,"  837,925 ","  46,456 ",  -   ,"  10,474 ",1.25%,#FeatureHighlight,2024-03-01 16:01:00,3/1/2024,16,Medium
Post_75,YouTube,Organic,Customer Story,Video,USA,-95.7129,37.0902,"  233,861 ","  1,386,334 ","  199,606 ","  64,371 ","  65,020 ",0.17,"  1,733,575 ","  1,386,334 ",  -   ,,,#CustomerStory,2025-02-06 15:56:00,2/6/2025,15,Medium
Post_76,LinkedIn,Organic,Customer Story,Carousel,India,78.9629,20.5937,"  97,469 ","  459,238 ","  100,452 ","  31,908 ","  10,860 ",0.21,"  550,573 ",  -   ,  -   ,,,#SuccessStory,2:33:00 PM,10/27/2024,14,High
Post_77,X.com,Organic,Product Promotion,Video,India,78.9629,20.5937,"  279,067 ","  2,056,853 ","  341,909 ","  152,999 ","  70,008 ",0.14,"  2,310,696 ","  2,056,853 ",  -   ,,,#ProductDemo,2024-04-02 15:53:00,4/2/2024,15,Medium
Post_78,X.com,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,"  205,446 ","  1,492,128 ","  181,217 ","  101,577 ","  66,740 ",0.14,"  1,671,518 ","  1,492,128 ",  -   ,,,#ProductDemo,2024-05-10 11:50:00,5/10/2024,11,Medium
Post_79,LinkedIn,Organic,Customer Story,Image,USA,-95.7129,37.0902,"  42,131 ","  274,496 ","  30,445 ","  19,514 ","  13,244 ",0.15,"  306,411 ",  -   ,  -   ,,,#SuccessStory,11:51:00 AM,2/6/2025,11,Medium
Post_82,Instagram,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,"  25,681 ","  228,655 ","  26,679 ","  12,491 ","  4,676 ",0.11,"  272,952 ",  -   ,"  122,521 ",,,#EventRecap,2024-09-02 17:48:00,9/2/2024,17,Medium
Post_83,Instagram,Organic,Event / Webinar,Live Stream,Japan,138.2529,36.2048,"  63,317 ","  377,113 ","  70,710 ","  29,455 ","  13,197 ",0.17,"  436,373 ",  -   ,"  447,439 ",,,#EventRecap,2024-10-28 17:16:00,10/28/2024,17,Medium
Post_84,Instagram,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,"  330,276 ","  2,578,147 ","  344,284 ","  201,510 ","  52,816 ",0.13,"  3,336,059 ","  2,578,147 ",  -   ,,,#ProductDemo,2025-03-02 15:36:00,3/2/2025,15,Medium
Post_85,X.com,Organic,Entertainment,Video,Brazil,-51.9253,-14.235,"  128,170 ","  2,168,069 ","  240,806 ","  125,081 ","  127,421 ",0.06,"  2,611,698 ","  2,168,069 ",  -   ,,,#TrendingNow,2025-02-04 09:54:00,2/4/2025,9,Low
Post_86,TikTok,Organic,Customer Story,Video,Canada,-106.3468,56.1304,"  308,010 ","  2,009,444 ","  390,655 ","  130,186 ","  76,723 ",0.15,"  2,462,596 ","  2,009,444 ",  -   ,"  50,729 ",2.06%,#CustomerStory,2024-12-31 08:54:00,12/31/2024,8,Medium
Post_87,X.com,Organic,Entertainment,Text,India,78.9629,20.5937,"  66,826 ","  674,464 ","  72,044 ","  29,708 ","  39,130 ",0.10,"  862,000 ",  -   ,  -   ,,,#FunContent,2024-05-09 15:48:00,5/9/2024,15,Low
Post_88,X.com,Organic,Customer Story,Text,Japan,138.2529,36.2048,"  83,720 ","  536,668 ","  90,347 ","  32,740 ","  16,687 ",0.16,"  610,526 ",  -   ,  -   ,,,#SuccessStory,2024-04-07 18:11:00,4/7/2024,18,Medium
Post_89,YouTube,Organic,Customer Story,Video,Brazil,-51.9253,-14.235,"  14,583 ","  75,220 ","  14,107 ","  2,548 ","  4,436 ",0.19,"  97,578 ","  68,179 ",  -   ,,,#CustomerStory,2024-12-02 16:53:00,12/2/2024,16,Medium
Post_90,YouTube,Organic,Customer Story,Video,Japan,138.2529,36.2048,"  41,913 ","  197,424 ","  40,417 ","  11,214 ","  6,392 ",0.21,"  249,298 ","  192,849 ",  -   ,,,#CustomerStory,2024-02-07 19:34:00,2/7/2024,19,High
Post_91,TikTok,Organic,Customer Story,Video,Germany,10.4515,51.1657,"  27,066 ","  160,158 ","  37,899 ","  11,391 ","  9,287 ",0.17,"  199,419 ","  8,468 ",  -   ,"  4,088 ",2.05%,#SuccessStory,2024-01-15 11:22:00,1/15/2024,11,Medium
Post_92,X.com,Organic,Entertainment,Image,India,78.9629,20.5937,"  55,267 ","  598,383 ","  114,896 ","  30,464 ","  34,292 ",0.09,"  761,868 ",  -   ,  -   ,,,#FunContent,2024-10-11 16:22:00,10/11/2024,16,Low
Post_93,X.com,Organic,Product Promotion,Text,UK,-3.436,55.3781,"  71,785 ","  735,888 ","  182,567 ","  27,611 ","  32,206 ",0.10,"  865,535 ",  -   ,  -   ,,,#FeatureHighlight,2025-03-16 14:48:00,3/16/2025,14,Low
Post_94,YouTube,Organic,Customer Story,Video,UK,-3.436,55.3781,"  41,710 ","  203,082 ","  49,854 ","  14,643 ","  10,871 ",0.21,"  242,426 ","  173,925 ",  -   ,,,#CustomerStory,2024-02-09 10:26:00,2/9/2024,10,High
Post_95,TikTok,Organic,Product Promotion,Video,Germany,10.4515,51.1657,"  79,719 ","  804,179 ","  87,218 ","  58,894 ","  42,232 ",0.10,"  1,045,387 ","  804,179 ",  -   ,"  23,730 ",2.27%,#ProductDemo,2025-02-19 19:50:00,2/19/2025,19,Low
Post_96,TikTok,Organic,Customer Story,Video,India,78.9629,20.5937,"  45,113 ","  190,062 ","  47,419 ","  10,980 ","  9,647 ",0.24,"  244,981 ","  79,689 ",  -   ,"  3,013 ",1.23%,#SuccessStory,2024-02-09 10:02:00,2/9/2024,10,High
Post_97,TikTok,Organic,Event / Webinar,Live Stream,UK,-3.436,55.3781,"  28,872 ","  204,993 ","  34,353 ","  7,473 ","  11,922 ",0.14,"  250,344 ",  -   ,"  107,160 ","  5,807 ",2.32%,#EventRecap,2025-01-03 15:39:00,1/3/2025,15,Medium
Post_98,TikTok,Sponsored,Entertainment,Video,Australia,133.7751,-25.2744,"  36,754 ","  624,569 ","  125,385 ","  38,040 ","  21,439 ",0.06,"  701,210 ","  2,342 ",  -   ,"  13,743 ",1.96%,#FunContent,2024-04-22 17:13:00,4/22/2024,17,Low
Post_99,Instagram,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,"  41,558 ","  274,233 ","  59,192 ","  15,359 ","  14,832 ",0.15,"  331,926 ",  -   ,"  324,375 ",,,#EventRecap,2024-03-27 11:37:00,3/27/2024,11,Medium
Post_100,YouTube,Organic,Entertainment,Video,Canada,-106.3468,56.1304,"  90,883 ","  909,479 ","  210,542 ","  45,632 ","  23,064 ",0.10,"  1,005,662 ","  850,396 ",  -   ,,,#TrendingNow,2024-09-02 11:46:00,9/2/2024,11,Low
Post_101,YouTube,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,"  36,511 ","  314,537 ","  64,672 ","  12,785 ","  8,006 ",0.12,"  346,905 ",  -   ,"  1,025,881 ",,,#WebinarReplay,2024-02-09 12:59:00,2/9/2024,12,Medium
Post_103,X.com,Organic,Product Promotion,Video,Germany,10.4515,51.1657,"  267,893 ","  3,126,767 ","  498,661 ","  191,059 ","  170,391 ",0.09,"  4,033,229 ","  3,126,767 ",  -   ,,,#ProductDemo,2025-04-01 17:09:00,4/1/2025,17,Low
